#{"t_start": 1790414012.686654, "env_id": "None"}
r,l,t,seed,entry_tick,policy_ticks,target_index,us_block_scores,us_block_score_events,them_block_score_events,target_block_offs,unowned_block_offs,us_drops,attribution_ambiguous,done_reason,faults,score_us,score_them
-1.0032,32,28.050188,1067,165,32,0,0,0,0,0,0,1,False,,0,0,1
-1.001408,61,28.161155,1068,165,61,0,0,0,0,0,0,1,False,,0,0,1
-1.0102,102,28.305228,1069,152,102,0,0,0,0,0,0,1,False,,0,0,1
-1.0012,12,28.377899,1070,165,12,0,0,0,0,0,0,1,False,,0,0,1
-1.0073,73,28.498769,1071,159,73,0,0,0,0,0,0,1,False,,0,2,0
-0.223467,2237,31.198876,1072,163,2237,0,0,0,1,0,0,0,False,比赛时间结束(手动模式),0,11,3
-1.189494,1810,33.342538,1073,168,1810,0,0,0,0,0,0,1,False,,0,0,1
-1.0036,36,33.442267,1074,177,36,0,0,0,0,0,0,1,False,,0,0,1
-1.0007,7,33.514782,1075,165,7,0,0,0,0,0,0,1,False,,0,0,1
-1.0021,21,33.598999,1076,181,21,0,0,0,0,0,0,1,False,,0,0,1
-1.0071,71,33.720504,1077,177,71,0,0,0,0,0,0,1,False,,0,0,1
-0.218672,2223,36.139022,1078,177,2223,0,0,0,1,0,0,0,False,比赛时间结束(手动模式),0,11,3
-1.004541,201,37.334137,1079,170,201,0,0,0,0,0,0,1,False,,0,0,1
-1.0122,122,37.546894,1080,160,122,0,0,0,0,0,0,1,False,,0,0,1
0.0,1,38.14885,1081,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,7
-0.984416,364,38.483801,1082,160,364,0,0,0,1,0,0,1,False,,0,0,4
-1.0133,133,38.639347,1083,149,133,0,0,0,0,0,0,1,False,,0,0,1
1.045061,197,38.862747,1084,155,197,0,1,1,0,0,0,0,False,,0,3,0
-1.0041,41,38.960362,1085,166,41,0,0,0,0,0,0,1,False,,0,0,1
-0.994917,205,39.175164,1086,156,205,0,0,0,0,0,0,1,False,,0,0,1
-1.0005,5,39.238096,1087,152,5,0,0,0,0,0,0,1,False,,0,0,1
0.0,1,39.795512,1088,-1,0,-1,0,0,0,0,0,0,False,比赛时间结束,0,0,12
0.0,1,40.085153,1089,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,7
-1.005,50,40.185649,1090,161,50,0,0,0,0,0,0,1,False,,0,0,1
1.046199,181,40.398497,1091,176,181,0,1,1,0,0,0,0,False,,0,3,0
-1.0025,25,40.47827,1092,158,25,0,0,0,0,0,0,1,False,,0,0,1
-1.02643,603,40.999067,1093,173,603,0,0,0,1,0,0,1,False,,0,3,3
-1.004465,45,41.097626,1094,163,45,0,0,0,0,0,0,1,False,,0,0,1
-1.0058,58,42.145669,1095,165,58,0,0,0,0,0,0,1,False,,0,0,1
-1.0023,23,42.289709,1096,169,23,0,0,0,0,0,0,1,False,,0,0,1
-0.014195,837,43.000973,1097,189,837,0,0,0,2,0,0,0,False,,0,3,9
-0.250053,2237,45.553596,1098,163,2237,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,11,0
-1.202223,1544,47.563508,1099,152,1544,0,0,0,1,0,0,1,False,,0,7,3
-1.0079,79,47.695777,1100,167,79,0,0,0,0,0,0,1,False,,0,0,1
-1.0066,66,47.805795,1101,159,66,0,0,0,0,0,0,1,False,,0,0,1
-1.0024,24,47.889269,1102,170,24,0,0,0,0,0,0,1,False,,0,0,1
-0.026199,907,48.632913,1103,167,907,0,0,0,1,0,0,0,False,,0,1,3
-1.010719,82,48.759175,1104,166,82,0,0,0,0,0,0,1,False,,0,0,1
-0.450553,155,48.946812,1105,181,155,0,0,0,0,1,1,0,False,,0,0,0
-1.00945,78,49.073975,1106,170,78,0,0,0,0,0,0,1,False,,0,2,0
-1.009376,90,49.935263,1107,161,90,0,0,0,0,0,0,1,False,,0,0,1
-0.007793,726,50.62038,1108,165,726,0,0,0,1,0,0,0,False,,0,1,3
-0.999325,208,50.839059,1109,165,208,0,0,0,0,0,0,1,False,,0,2,1
-1.0024,24,50.921198,1110,169,24,0,0,0,0,0,0,1,False,,0,0,1
-1.003173,47,51.019183,1111,172,47,0,0,0,0,0,0,1,False,,0,1,1
-1.0212,212,51.223412,1112,181,212,0,0,0,0,0,0,1,False,,0,2,0
0.027544,359,51.552377,1113,165,359,0,0,0,2,0,0,0,False,,0,2,6
-0.225775,2234,54.214867,1114,166,2234,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,8,0
-0.169904,2237,56.792473,1115,163,2237,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,9,0
-1.0025,25,56.877983,1116,163,25,0,0,0,0,0,0,1,False,,0,0,1
-1.073443,745,58.412572,1117,160,745,0,0,0,0,0,0,1,False,,0,6,0
-1.0033,33,58.50262,1118,166,33,0,0,0,0,0,0,1,False,,0,0,1
-0.228249,2244,61.023598,1119,156,2244,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,2,0
-1.0026,26,61.110279,1120,165,26,0,0,0,0,0,0,1,False,,0,0,1
-1.0014,14,61.185366,1121,161,14,0,0,0,0,0,0,1,False,,0,0,1
-1.0026,26,61.269823,1122,166,26,0,0,0,0,0,0,1,False,,0,0,1
