trial,value,params,block_scores,drops,recover_limit_ends,mount_t,final_scores
130,-60.0,"{""MOUNT_SPEED"": 690, ""IR_TRIGGER"": 0.15076114923789247, ""FALL_THRESHOLD"": 270, ""EDGE_THRESHOLD"": 750, ""RECOVER_LIMIT"": 5}",4,54,1,"[40.0, 40.0, 40.0, 40.0]","[[4.0, 8.0], [4.0, 12.0], [3.0, 9.0], [3.0, 9.0]]"
131,4.0,"{""MOUNT_SPEED"": 710, ""IR_TRIGGER"": 0.2332880903488387, ""FALL_THRESHOLD"": 305, ""EDGE_THRESHOLD"": 780, ""RECOVER_LIMIT"": 5}",4,0,0,"[43.0, 43.0, 43.0, 43.0]","[[6.0, 3.0], [8.0, 3.0], [6.0, 3.0], [5.0, 3.0]]"
132,-7.0,"{""MOUNT_SPEED"": 780, ""IR_TRIGGER"": 0.2793163681457266, ""FALL_THRESHOLD"": 310, ""EDGE_THRESHOLD"": 750, ""RECOVER_LIMIT"": 5}",4,11,0,"[30.0, 30.0, 30.0, 30.0]","[[3.0, 4.0], [3.0, 4.0], [3.0, 4.0], [4.0, 0.0]]"
133,-8.0,"{""MOUNT_SPEED"": 730, ""IR_TRIGGER"": 0.26651115673280035, ""FALL_THRESHOLD"": 285, ""EDGE_THRESHOLD"": 730, ""RECOVER_LIMIT"": 4}",0,8,0,"[36.0, 36.0, 36.0, 36.0]","[[1.0, 4.0], [1.0, 4.0], [1.0, 4.0], [1.0, 4.0]]"
134,0.0,"{""MOUNT_SPEED"": 720, ""IR_TRIGGER"": 0.2857514164309841, ""FALL_THRESHOLD"": 275, ""EDGE_THRESHOLD"": 780, ""RECOVER_LIMIT"": 5}",0,0,0,"[42.0, 42.0, 42.0, 42.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
135,0.0,"{""MOUNT_SPEED"": 750, ""IR_TRIGGER"": 0.20468252748219126, ""FALL_THRESHOLD"": 310, ""EDGE_THRESHOLD"": 780, ""RECOVER_LIMIT"": 5}",0,0,0,"[35.0, 35.0, 35.0, 35.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
136,-39.0,"{""MOUNT_SPEED"": 660, ""IR_TRIGGER"": 0.23676468695827968, ""FALL_THRESHOLD"": 305, ""EDGE_THRESHOLD"": 800, ""RECOVER_LIMIT"": 5}",0,39,0,"[46.0, 46.0, 46.0, 46.0]","[[6.0, 6.0], [1.0, 8.0], [1.0, 0.0], [0.0, 9.0]]"
137,-37.0,"{""MOUNT_SPEED"": 660, ""IR_TRIGGER"": 0.18794478949094875, ""FALL_THRESHOLD"": 270, ""EDGE_THRESHOLD"": 670, ""RECOVER_LIMIT"": 4}",1,38,0,"[46.0, 46.0, 46.0, 46.0]","[[6.0, 6.0], [1.0, 8.0], [9.0, 7.0], [0.0, 9.0]]"
138,-4.0,"{""MOUNT_SPEED"": 780, ""IR_TRIGGER"": 0.1786380177043057, ""FALL_THRESHOLD"": 270, ""EDGE_THRESHOLD"": 710, ""RECOVER_LIMIT"": 4}",4,8,0,"[30.0, 30.0, 30.0, 30.0]","[[3.0, 4.0], [3.0, 4.0], [3.0, 4.0], [3.0, 4.0]]"
139,-24.0,"{""MOUNT_SPEED"": 700, ""IR_TRIGGER"": 0.23903189272293726, ""FALL_THRESHOLD"": 295, ""EDGE_THRESHOLD"": 740, ""RECOVER_LIMIT"": 4}",3,27,0,"[47.0, 47.0, 47.0, 47.0]","[[4.0, 0.0], [3.0, 8.0], [3.0, 8.0], [0.0, 2.0]]"
140,0.0,"{""MOUNT_SPEED"": 720, ""IR_TRIGGER"": 0.16675896877446694, ""FALL_THRESHOLD"": 295, ""EDGE_THRESHOLD"": 780, ""RECOVER_LIMIT"": 5}",0,0,0,"[42.0, 42.0, 42.0, 42.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
141,-37.0,"{""MOUNT_SPEED"": 660, ""IR_TRIGGER"": 0.18666747566913972, ""FALL_THRESHOLD"": 290, ""EDGE_THRESHOLD"": 760, ""RECOVER_LIMIT"": 4}",1,38,0,"[46.0, 46.0, 46.0, 46.0]","[[6.0, 6.0], [1.0, 8.0], [9.0, 7.0], [0.0, 9.0]]"
142,-51.0,"{""MOUNT_SPEED"": 690, ""IR_TRIGGER"": 0.30372528471676474, ""FALL_THRESHOLD"": 270, ""EDGE_THRESHOLD"": 650, ""RECOVER_LIMIT"": 4}",4,45,1,"[40.0, 40.0, 40.0, 40.0]","[[10.0, 9.0], [4.0, 5.0], [3.0, 9.0], [3.0, 9.0]]"
143,-28.0,"{""MOUNT_SPEED"": 700, ""IR_TRIGGER"": 0.25529707490715176, ""FALL_THRESHOLD"": 240, ""EDGE_THRESHOLD"": 730, ""RECOVER_LIMIT"": 4}",2,30,0,"[47.0, 47.0, 47.0, 47.0]","[[0.0, 5.0], [3.0, 8.0], [3.0, 8.0], [0.0, 2.0]]"
144,0.0,"{""MOUNT_SPEED"": 720, ""IR_TRIGGER"": 0.2597235333142188, ""FALL_THRESHOLD"": 320, ""EDGE_THRESHOLD"": 770, ""RECOVER_LIMIT"": 5}",0,0,0,"[42.0, 42.0, 42.0, 42.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
145,4.0,"{""MOUNT_SPEED"": 710, ""IR_TRIGGER"": 0.17657121852084215, ""FALL_THRESHOLD"": 295, ""EDGE_THRESHOLD"": 800, ""RECOVER_LIMIT"": 4}",4,0,0,"[43.0, 43.0, 43.0, 43.0]","[[6.0, 3.0], [8.0, 3.0], [6.0, 3.0], [5.0, 3.0]]"
146,-46.0,"{""MOUNT_SPEED"": 670, ""IR_TRIGGER"": 0.2277249500496357, ""FALL_THRESHOLD"": 290, ""EDGE_THRESHOLD"": 770, ""RECOVER_LIMIT"": 5}",4,50,0,"[43.0, 43.0, 43.0, 43.0]","[[3.0, 9.0], [3.0, 15.0], [3.0, 9.0], [3.0, 15.0]]"
147,0.0,"{""MOUNT_SPEED"": 750, ""IR_TRIGGER"": 0.17800762037240098, ""FALL_THRESHOLD"": 300, ""EDGE_THRESHOLD"": 800, ""RECOVER_LIMIT"": 4}",0,0,0,"[35.0, 35.0, 35.0, 35.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
148,-51.0,"{""MOUNT_SPEED"": 690, ""IR_TRIGGER"": 0.267002844259267, ""FALL_THRESHOLD"": 270, ""EDGE_THRESHOLD"": 710, ""RECOVER_LIMIT"": 4}",4,45,1,"[40.0, 40.0, 40.0, 40.0]","[[10.0, 9.0], [4.0, 5.0], [3.0, 9.0], [3.0, 9.0]]"
149,4.0,"{""MOUNT_SPEED"": 710, ""IR_TRIGGER"": 0.1909509447821235, ""FALL_THRESHOLD"": 315, ""EDGE_THRESHOLD"": 740, ""RECOVER_LIMIT"": 5}",4,0,0,"[43.0, 43.0, 43.0, 43.0]","[[6.0, 3.0], [8.0, 3.0], [6.0, 3.0], [5.0, 3.0]]"
