trial,value,params,block_scores,drops,recover_limit_ends,mount_t,final_scores
70,-37.0,"{""MOUNT_SPEED"": 660, ""IR_TRIGGER"": 0.20917510954688665, ""FALL_THRESHOLD"": 235, ""EDGE_THRESHOLD"": 680, ""RECOVER_LIMIT"": 6}",1,38,0,"[46.0, 46.0, 46.0, 46.0]","[[6.0, 6.0], [1.0, 8.0], [9.0, 7.0], [0.0, 9.0]]"
71,-4.0,"{""MOUNT_SPEED"": 620, ""IR_TRIGGER"": 0.2171576583422082, ""FALL_THRESHOLD"": 285, ""EDGE_THRESHOLD"": 670, ""RECOVER_LIMIT"": 6}",4,8,0,"[41.0, 41.0, 41.0, 41.0]","[[4.0, 4.0], [4.0, 4.0], [4.0, 4.0], [4.0, 4.0]]"
72,-8.0,"{""MOUNT_SPEED"": 730, ""IR_TRIGGER"": 0.3694802547183574, ""FALL_THRESHOLD"": 230, ""EDGE_THRESHOLD"": 750, ""RECOVER_LIMIT"": 4}",0,8,0,"[36.0, 36.0, 36.0, 36.0]","[[1.0, 4.0], [1.0, 4.0], [1.0, 4.0], [1.0, 4.0]]"
73,-41.0,"{""MOUNT_SPEED"": 690, ""IR_TRIGGER"": 0.23427361092444737, ""FALL_THRESHOLD"": 305, ""EDGE_THRESHOLD"": 800, ""RECOVER_LIMIT"": 8}",4,45,0,"[40.0, 40.0, 40.0, 40.0]","[[10.0, 9.0], [4.0, 5.0], [3.0, 9.0], [3.0, 9.0]]"
74,-48.0,"{""MOUNT_SPEED"": 870, ""IR_TRIGGER"": 0.18084268719777094, ""FALL_THRESHOLD"": 245, ""EDGE_THRESHOLD"": 750, ""RECOVER_LIMIT"": 7}",0,8,4,"[29.0, 29.0, 29.0, 29.0]","[[1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [0.0, 0.0]]"
75,-52.0,"{""MOUNT_SPEED"": 760, ""IR_TRIGGER"": 0.24890780154165865, ""FALL_THRESHOLD"": 290, ""EDGE_THRESHOLD"": 690, ""RECOVER_LIMIT"": 6}",0,12,4,"[35.0, 35.0, 35.0, 35.0]","[[0.0, 2.0], [0.0, 2.0], [0.0, 2.0], [0.0, 2.0]]"
76,0.0,"{""MOUNT_SPEED"": 720, ""IR_TRIGGER"": 0.19877671254207102, ""FALL_THRESHOLD"": 320, ""EDGE_THRESHOLD"": 740, ""RECOVER_LIMIT"": 6}",0,0,0,"[42.0, 42.0, 42.0, 42.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
77,-26.0,"{""MOUNT_SPEED"": 700, ""IR_TRIGGER"": 0.3451921655806642, ""FALL_THRESHOLD"": 260, ""EDGE_THRESHOLD"": 740, ""RECOVER_LIMIT"": 3}",2,28,0,"[47.0, 47.0, 47.0, 47.0]","[[0.0, 3.0], [3.0, 8.0], [3.0, 8.0], [0.0, 2.0]]"
78,-35.0,"{""MOUNT_SPEED"": 660, ""IR_TRIGGER"": 0.30610846586155777, ""FALL_THRESHOLD"": 245, ""EDGE_THRESHOLD"": 720, ""RECOVER_LIMIT"": 2}",1,36,0,"[46.0, 46.0, 46.0, 46.0]","[[6.0, 6.0], [2.0, 8.0], [9.0, 7.0], [0.0, 9.0]]"
79,-8.0,"{""MOUNT_SPEED"": 730, ""IR_TRIGGER"": 0.18588003558296712, ""FALL_THRESHOLD"": 305, ""EDGE_THRESHOLD"": 790, ""RECOVER_LIMIT"": 6}",0,8,0,"[36.0, 36.0, 36.0, 36.0]","[[1.0, 4.0], [1.0, 4.0], [1.0, 4.0], [1.0, 4.0]]"
80,4.0,"{""MOUNT_SPEED"": 710, ""IR_TRIGGER"": 0.2317854961744874, ""FALL_THRESHOLD"": 280, ""EDGE_THRESHOLD"": 690, ""RECOVER_LIMIT"": 5}",4,0,0,"[43.0, 43.0, 43.0, 43.0]","[[6.0, 3.0], [8.0, 3.0], [6.0, 3.0], [5.0, 3.0]]"
81,4.0,"{""MOUNT_SPEED"": 710, ""IR_TRIGGER"": 0.20418964670736758, ""FALL_THRESHOLD"": 275, ""EDGE_THRESHOLD"": 700, ""RECOVER_LIMIT"": 4}",4,0,0,"[43.0, 43.0, 43.0, 43.0]","[[6.0, 3.0], [8.0, 3.0], [6.0, 3.0], [5.0, 3.0]]"
82,0.0,"{""MOUNT_SPEED"": 650, ""IR_TRIGGER"": 0.18708831279243837, ""FALL_THRESHOLD"": 285, ""EDGE_THRESHOLD"": 710, ""RECOVER_LIMIT"": 5}",0,0,0,[],"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
83,4.0,"{""MOUNT_SPEED"": 710, ""IR_TRIGGER"": 0.25566967402625784, ""FALL_THRESHOLD"": 275, ""EDGE_THRESHOLD"": 730, ""RECOVER_LIMIT"": 4}",4,0,0,"[43.0, 43.0, 43.0, 43.0]","[[6.0, 3.0], [8.0, 3.0], [6.0, 3.0], [5.0, 3.0]]"
84,-24.0,"{""MOUNT_SPEED"": 700, ""IR_TRIGGER"": 0.25141698362415393, ""FALL_THRESHOLD"": 290, ""EDGE_THRESHOLD"": 670, ""RECOVER_LIMIT"": 4}",3,27,0,"[47.0, 47.0, 47.0, 47.0]","[[4.0, 0.0], [3.0, 8.0], [3.0, 8.0], [0.0, 2.0]]"
85,-6.0,"{""MOUNT_SPEED"": 680, ""IR_TRIGGER"": 0.16059163884167946, ""FALL_THRESHOLD"": 255, ""EDGE_THRESHOLD"": 690, ""RECOVER_LIMIT"": 4}",0,6,0,"[41.0, 41.0, 41.0, 41.0]","[[1.0, 3.0], [0.0, 4.0], [1.0, 3.0], [0.0, 6.0]]"
86,-51.0,"{""MOUNT_SPEED"": 690, ""IR_TRIGGER"": 0.20779988626173418, ""FALL_THRESHOLD"": 270, ""EDGE_THRESHOLD"": 780, ""RECOVER_LIMIT"": 5}",4,45,1,"[40.0, 40.0, 40.0, 40.0]","[[10.0, 9.0], [4.0, 5.0], [3.0, 9.0], [3.0, 9.0]]"
87,-48.0,"{""MOUNT_SPEED"": 640, ""IR_TRIGGER"": 0.2305115868451375, ""FALL_THRESHOLD"": 265, ""EDGE_THRESHOLD"": 690, ""RECOVER_LIMIT"": 4}",0,8,4,"[41.0, 41.0, 41.0, 41.0]","[[0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0]]"
88,-46.0,"{""MOUNT_SPEED"": 670, ""IR_TRIGGER"": 0.2083376349402326, ""FALL_THRESHOLD"": 265, ""EDGE_THRESHOLD"": 730, ""RECOVER_LIMIT"": 6}",4,50,0,"[43.0, 43.0, 43.0, 43.0]","[[3.0, 9.0], [3.0, 15.0], [3.0, 9.0], [3.0, 15.0]]"
89,-14.0,"{""MOUNT_SPEED"": 770, ""IR_TRIGGER"": 0.2052752935877565, ""FALL_THRESHOLD"": 275, ""EDGE_THRESHOLD"": 710, ""RECOVER_LIMIT"": 5}",4,18,0,"[36.0, 36.0, 36.0, 36.0]","[[3.0, 5.0], [3.0, 5.0], [3.0, 5.0], [5.0, 4.0]]"
90,4.0,"{""MOUNT_SPEED"": 740, ""IR_TRIGGER"": 0.21312506953419577, ""FALL_THRESHOLD"": 300, ""EDGE_THRESHOLD"": 770, ""RECOVER_LIMIT"": 5}",4,0,0,"[34.0, 34.0, 34.0, 34.0]","[[8.0, 0.0], [6.0, 0.0], [8.0, 0.0], [3.0, 0.0]]"
91,-46.0,"{""MOUNT_SPEED"": 670, ""IR_TRIGGER"": 0.26154489812631687, ""FALL_THRESHOLD"": 290, ""EDGE_THRESHOLD"": 680, ""RECOVER_LIMIT"": 5}",4,50,0,"[43.0, 43.0, 43.0, 43.0]","[[3.0, 9.0], [3.0, 15.0], [3.0, 9.0], [3.0, 15.0]]"
92,-20.0,"{""MOUNT_SPEED"": 790, ""IR_TRIGGER"": 0.22939263636709215, ""FALL_THRESHOLD"": 270, ""EDGE_THRESHOLD"": 770, ""RECOVER_LIMIT"": 5}",0,20,0,"[30.0, 30.0, 30.0, 30.0]","[[1.0, 8.0], [0.0, 8.0], [1.0, 7.0], [0.0, 7.0]]"
93,-52.0,"{""MOUNT_SPEED"": 760, ""IR_TRIGGER"": 0.22842546076277365, ""FALL_THRESHOLD"": 250, ""EDGE_THRESHOLD"": 690, ""RECOVER_LIMIT"": 5}",0,12,4,"[35.0, 35.0, 35.0, 35.0]","[[0.0, 2.0], [0.0, 2.0], [0.0, 2.0], [0.0, 2.0]]"
94,-4.0,"{""MOUNT_SPEED"": 620, ""IR_TRIGGER"": 0.25538947064011974, ""FALL_THRESHOLD"": 280, ""EDGE_THRESHOLD"": 740, ""RECOVER_LIMIT"": 4}",4,8,0,"[41.0, 41.0, 41.0, 41.0]","[[4.0, 4.0], [4.0, 4.0], [4.0, 4.0], [4.0, 4.0]]"
95,-4.0,"{""MOUNT_SPEED"": 780, ""IR_TRIGGER"": 0.2690991151350116, ""FALL_THRESHOLD"": 265, ""EDGE_THRESHOLD"": 710, ""RECOVER_LIMIT"": 4}",4,8,0,"[30.0, 30.0, 30.0, 30.0]","[[3.0, 4.0], [3.0, 4.0], [3.0, 4.0], [3.0, 4.0]]"
96,0.0,"{""MOUNT_SPEED"": 650, ""IR_TRIGGER"": 0.2474312211525747, ""FALL_THRESHOLD"": 255, ""EDGE_THRESHOLD"": 740, ""RECOVER_LIMIT"": 4}",0,0,0,[],"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
97,-6.0,"{""MOUNT_SPEED"": 680, ""IR_TRIGGER"": 0.20648288389597702, ""FALL_THRESHOLD"": 260, ""EDGE_THRESHOLD"": 710, ""RECOVER_LIMIT"": 5}",0,6,0,"[41.0, 41.0, 41.0, 41.0]","[[1.0, 3.0], [0.0, 4.0], [1.0, 3.0], [0.0, 6.0]]"
98,-6.0,"{""MOUNT_SPEED"": 680, ""IR_TRIGGER"": 0.24024844095977305, ""FALL_THRESHOLD"": 315, ""EDGE_THRESHOLD"": 690, ""RECOVER_LIMIT"": 4}",0,6,0,"[41.0, 41.0, 41.0, 41.0]","[[1.0, 3.0], [0.0, 4.0], [1.0, 3.0], [0.0, 6.0]]"
