#{"t_start": 1790417062.4237332, "env_id": "None"}
r,l,t,seed,entry_tick,policy_ticks,target_index,us_block_scores,us_block_score_events,them_block_score_events,target_block_offs,unowned_block_offs,us_drops,attribution_ambiguous,done_reason,faults,score_us,score_them
-1.0032,32,29.178377,1067,165,32,0,0,0,0,0,0,1,False,,0,0,1
-1.001408,61,29.287266,1068,165,61,0,0,0,0,0,0,1,False,,0,0,1
-1.0102,102,29.420048,1069,152,102,0,0,0,0,0,0,1,False,,0,0,1
-1.0012,12,29.488644,1070,165,12,0,0,0,0,0,0,1,False,,0,0,1
-1.0073,73,29.605525,1071,159,73,0,0,0,0,0,0,1,False,,0,2,0
-0.223467,2237,32.492914,1072,163,2237,0,0,0,1,0,0,0,False,比赛时间结束(手动模式),0,11,3
-1.189494,1810,34.805058,1073,168,1810,0,0,0,0,0,0,1,False,,0,0,1
-1.0036,36,34.900093,1074,177,36,0,0,0,0,0,0,1,False,,0,0,1
-1.0007,7,34.969201,1075,165,7,0,0,0,0,0,0,1,False,,0,0,1
-1.0021,21,35.047974,1076,181,21,0,0,0,0,0,0,1,False,,0,0,1
-1.0071,71,35.17083,1077,177,71,0,0,0,0,0,0,1,False,,0,0,1
-0.218672,2223,37.715707,1078,177,2223,0,0,0,1,0,0,0,False,比赛时间结束(手动模式),0,11,3
-1.004541,201,38.824037,1079,170,201,0,0,0,0,0,0,1,False,,0,0,1
-1.0122,122,39.026216,1080,160,122,0,0,0,0,0,0,1,False,,0,0,1
0.0,1,39.600827,1081,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,7
-0.984416,364,39.931376,1082,160,364,0,0,0,1,0,0,1,False,,0,0,4
-1.0133,133,40.088626,1083,149,133,0,0,0,0,0,0,1,False,,0,0,1
1.045061,197,40.300082,1084,155,197,0,1,1,0,0,0,0,False,,0,3,0
-1.0041,41,40.391133,1085,166,41,0,0,0,0,0,0,1,False,,0,0,1
-0.994917,205,40.599931,1086,156,205,0,0,0,0,0,0,1,False,,0,0,1
-1.0005,5,40.659867,1087,152,5,0,0,0,0,0,0,1,False,,0,0,1
0.0,1,41.194211,1088,-1,0,-1,0,0,0,0,0,0,False,比赛时间结束,0,0,12
0.0,1,41.471089,1089,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,7
-1.005,50,41.569709,1090,161,50,0,0,0,0,0,0,1,False,,0,0,1
1.046199,181,41.779802,1091,176,181,0,1,1,0,0,0,0,False,,0,3,0
-1.0025,25,41.856311,1092,158,25,0,0,0,0,0,0,1,False,,0,0,1
-1.02643,603,42.363401,1093,173,603,0,0,0,1,0,0,1,False,,0,3,3
-1.004465,45,42.461143,1094,163,45,0,0,0,0,0,0,1,False,,0,0,1
-1.0058,58,43.625382,1095,165,58,0,0,0,0,0,0,1,False,,0,0,1
-1.0023,23,43.777741,1096,169,23,0,0,0,0,0,0,1,False,,0,0,1
-0.014195,837,44.502464,1097,189,837,0,0,0,2,0,0,0,False,,0,3,9
-0.250053,2237,47.131934,1098,163,2237,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,11,0
-1.202223,1544,49.288208,1099,152,1544,0,0,0,1,0,0,1,False,,0,7,3
-1.0079,79,49.417051,1100,167,79,0,0,0,0,0,0,1,False,,0,0,1
-1.0066,66,49.526216,1101,159,66,0,0,0,0,0,0,1,False,,0,0,1
-1.0024,24,49.606668,1102,170,24,0,0,0,0,0,0,1,False,,0,0,1
-0.026199,907,50.347268,1103,167,907,0,0,0,1,0,0,0,False,,0,1,3
